outcome,learner,group,n,predicted_cate,realized_ate,se,ci_lo,ci_hi
visit,x_learner,8,100000,0.001842921394032194,0.001626242472682577,0.0009626674192735899,-0.0002605509981837789,0.003513035943548933
visit,x_learner,9,100000,0.008919284530346893,0.008388560497306338,0.001924454256289701,0.0046166994650837095,0.012160421529528967
visit,x_learner,10,100000,0.08345414434802091,0.05209642089073441,0.0036863779870663074,0.044871252802683184,0.05932158897878563
visit,dr_learner,1,100000,-0.031074908548161702,0.015253480840287742,0.0030125590814725016,0.009348973539302571,0.021157988141272913
visit,dr_learner,2,100000,0.0002176522832756604,0.0002569548316848038,0.00023651116294645918,-0.0002065985296319403,0.0007205081930015479
visit,dr_learner,3,100000,0.00032280198434167685,0.0002588225402058808,0.0003071034741483985,-0.00034308920865210783,0.0008607342890638695
visit,dr_learner,4,100000,0.00038604535036940917,0.00038101754429298545,0.00028224449613751325,-0.0001721715029711949,0.0009342065915571658
visit,dr_learner,5,100000,0.0004886831320041874,0.0007351000234280174,0.00033271848125668215,8.298378317405535e-05,0.0013872162636819794
visit,dr_learner,6,100000,0.0008637119172920535,0.0011544222581211499,0.0005857816651298104,6.31129166281906e-06,0.0023025332245794807
visit,dr_learner,7,100000,0.001409480032149674,0.000981325440389355,0.0007844717434832096,-0.0005562109237270795,0.00251886180450579
visit,dr_learner,8,100000,0.002387732317590577,0.002274258020688728,0.0010043981803156334,0.00030567376113251965,0.004242842280244937
visit,dr_learner,9,100000,0.00790322752683419,0.010123369896734534,0.0017939656987792459,0.006607261737626981,0.013639478055842088
visit,dr_learner,10,100000,0.08806819804886232,0.049900958313134486,0.003717916830619637,0.04261397522760469,0.05718794139866428
visit,causal_forest,1,100000,-0.008895911609789468,0.005290958069912519,0.002039537281319701,0.0012935384533991684,0.009288377686425868
visit,causal_forest,2,100000,-0.0015089644948225816,0.0007752117386591005,0.0010528686166996811,-0.0012883728305247812,0.002838796307842982
visit,causal_forest,3,100000,-4.46546454456634e-05,0.0002633618198003662,0.0005234071848230535,-0.0007624974117023183,0.0012892210513030507
visit,causal_forest,4,100000,0.00031681051542534254,0.0007319563798318033,0.0004317202494975739,-0.00011419976058008778,0.0015781125202436945
visit,causal_forest,5,100000,0.0008349216260227772,-0.00019380497960175182,0.0006142385222328665,-0.0013976903610952753,0.0010100804018917716
visit,causal_forest,6,100000,0.0016217380008285863,0.0002142965454953816,0.0007197373876235183,-0.0011963628125736586,0.0016249559035644218
visit,causal_forest,7,100000,0.0028605278419102397,0.0024575179342532314,0.0008662257601948893,0.0007597466417904187,0.004155289226716044
visit,causal_forest,8,100000,0.0053045757687727076,0.0030289492932274974,0.0013350896666969696,0.0004122216303698522,0.005645676956085142
visit,causal_forest,9,100000,0.012968151702133624,0.010013702669764965,0.002418942934019173,0.0052726616384297376,0.014754743701100193
visit,causal_forest,10,100000,0.05985971375413766,0.05987176496570337,0.0037339204484238284,0.05255341536565502,0.06719011456575172
conversion,t_learner,1,100000,-0.008549159293439109,0.002626166128564843,0.0007047249267920405,0.0012449306530448174,0.004007401604084868
conversion,t_learner,2,100000,-7.69003856540287e-05,-4.997976913586195e-05,0.00017229790822333993,-0.00038767746386519583,0.00028771792559347193
conversion,t_learner,3,100000,7.599589883596159e-05,6.360451097914121e-05,7.672853180305296e-05,-8.678064794147873e-05,0.00021398966989976114
