arm,mechanism,severity,outcome,replicate,n_kept,treated_share_kept,naive,outcome_regression,ipw,aipw
primary,confounded_assignment,0.25,visit,15,499546,0.8494492999643677,0.033833777202499055,0.009901686426600408,0.00620514418414711,0.009103482794566633
primary,confounded_assignment,0.25,visit,16,499227,0.849214886214087,0.033871986737736254,0.008669564711772588,0.00474387244341877,0.009576985882159949
primary,confounded_assignment,0.25,visit,17,499612,0.8496112983675332,0.03411866265641511,0.010166026668766908,0.006697379863546744,0.010087501377677763
primary,confounded_assignment,0.25,visit,18,500263,0.8497330404207387,0.03331110385831801,0.008310812223106232,0.004966741574455959,0.008508888552057553
primary,confounded_assignment,0.25,visit,19,499522,0.8489315785891313,0.03343039225991655,0.00804140428380424,0.0042133252635383825,0.007089720475521229
primary,confounded_assignment,0.5,visit,0,497871,0.8470547591645226,0.05003938974600677,0.011384988364548435,0.00945960941504298,0.010590515553762508
primary,confounded_assignment,0.5,visit,1,496532,0.8469605181539156,0.05050978872048682,0.010209552264050034,0.007150446263391473,0.009460717988643093
primary,confounded_assignment,0.5,visit,2,496330,0.8466544436161425,0.049531949281892564,0.010356253073085235,0.008944660155284383,0.010221955406001376
primary,confounded_assignment,0.5,visit,3,496194,0.8463201892808055,0.05010958299319389,0.008609838780808968,0.006522576591364418,0.008794981630318992
primary,confounded_assignment,0.5,visit,4,497143,0.8469917106345659,0.05003187810738696,0.010968637491369585,0.008516154720117963,0.011163535587928807
primary,confounded_assignment,0.5,visit,5,497175,0.8469733997083522,0.05014313294448963,0.008959152043603076,0.007611887408508364,0.00920139461825163
primary,confounded_assignment,0.5,visit,6,497007,0.8466882760202573,0.04949653009230494,0.00924584396811612,0.004760374480278419,0.008047799564208816
primary,confounded_assignment,0.5,visit,7,497210,0.8474045172060095,0.05042633692794127,0.011703579727346862,0.007925140715109046,0.011034790943939192
primary,confounded_assignment,0.5,visit,8,496356,0.8468155920347492,0.050922446424098676,0.011966972409584657,0.010482479839964524,0.011865325807721696
primary,confounded_assignment,0.5,visit,9,496513,0.8466344285043896,0.04998868198936575,0.009271140155683496,0.005865186225197716,0.007929849653667418
